address,category,subcategory,coords.lat,coords.lon,date,location
"Corso Plebisciti, 19, 20129 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4680943,9.2175548,3/20/2020,lombardia-milano-milano
"Via Privata Ludovico Cavaleri, 5, 20147 Milano MI",FURTO,Furto Ciclo/Motociclo,45.461863,9.132855,2/5/2018,lombardia-milano-milano
"Piazza della Conciliazione, 5, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4675199,9.1666689,2/22/2018,lombardia-milano-milano
"Via Carlo Crivelli, 15/1, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4529887,9.1938186,3/4/2020,lombardia-milano-milano
"Largo Antonio Greppi, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4718554,9.1830333,1/6/2018,lombardia-milano-milano
"Via Ruggero Boscovich, 14, 20142 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4825775,9.2022306,3/19/2018,lombardia-milano-milano
"Via Giotto, 29, 20145 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4692688,9.1565492,1/7/2018,lombardia-milano-milano
"Largo Ascari, 20143 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4438672,9.167045,1/29/2019,lombardia-milano-milano
"Piazza della Repubblica, 16, 20124 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4783599,9.1983679,1/16/2019,lombardia-milano-milano
"Via Andrea Maria AmpÃ¨re, 1, 20131 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4795266,9.2263901,3/6/2019,lombardia-milano-milano
"Viale Zara, 44, 20124 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4927893,9.1933706,3/6/2019,lombardia-milano-milano
"Via Torquato Taramelli, 26, 20124 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4911448,9.194082,2/22/2018,lombardia-milano-milano
"Via Giancarlo Sismondi, 35, 20133 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4656032,9.2314283,1/22/2019,lombardia-milano-milano
"Via Tommaso Gulli, 54, 20147 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4654065,9.1281388,1/2/2018,lombardia-milano-milano
"Viale Coni Zugna, 5, 20144 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4597281,9.1654506,3/17/2019,lombardia-milano-milano
"Piazzale Lorenzo Lotto, 15, 20148 Milano MIL",FURTO,Furto Ciclo/Motociclo,45.480642,9.142375,2/23/2019,lombardia-milano-milano
Via San Paolino,RAPINA,Rapina in Strada,45.4342909,9.1646906,3/18/2019,lombardia-milano-milano
"Viale Lombardia, 23, 20131 Milano MI",FURTO,Furto Ciclo/Motociclo,45.484153,9.2236179,3/12/2018,lombardia-milano-milano
Piazza Duca d'Aosta,FURTO,,45.48484865,9.203385872,2/6/2020,lombardia-milano-milano
"Via Milazzo, 10, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4795311,9.1878263,2/27/2018,lombardia-milano-milano
"Piazza Luigi Einaudi, 20124 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4841384,9.1958149,3/29/2019,lombardia-milano-milano
"Via Felice Poggi, 20131 Milano MI",FURTO,Furto Ciclo/Motociclo,45.484497,9.2279816,3/30/2019,lombardia-milano-milano
"Piazza Enrico Bottini, 20133 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4850991,9.2358215,2/5/2018,lombardia-milano-milano
"Piazza Venticinque Aprile, 10, 20100 Milano MI",FURTO,Furto Ciclo/Motociclo,45.48056095,9.187877836,1/27/2018,lombardia-milano-milano
"Via Giovanni Pacini, 74, 20131 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4841094,9.2351842,1/19/2018,lombardia-milano-milano
"Viale Regina Giovanna, 15, 20129 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4751993,9.2104949,2/10/2019,lombardia-milano-milano
"Via Orazio, 3, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4599599,9.178302682,1/19/2018,lombardia-milano-milano
Corso di Porta Ticinese,RAPINA,Rapina in Strada,45.4565663,9.1808058,2/13/2020,lombardia-milano-milano
"Via Vincenzo Foppa, 37, 20144 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4585249,9.162701,2/2/2018,lombardia-milano-milano
Piazzale Susa,RAPINA,Rapina in Esercizio Commerciale,45.46803005,9.223307202,2/3/2020,lombardia-milano-milano
"Via Luigi Settembrini, 54, 20124 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4841751,9.208692,3/18/2018,lombardia-milano-milano
"Via G. Leopardi, 1, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.466892,9.176055,1/31/2019,lombardia-milano-milano
"Via Andrea Solari, 19, 20144 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4559538,9.1655708,1/18/2018,lombardia-milano-milano
"Via Pastrengo, 14, 20159 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4871289,9.1862379,1/20/2019,lombardia-milano-milano
"Foro Buonaparte, 76, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4689324,9.1827097,3/31/2018,lombardia-milano-milano
"Via Valenza, 5, 20144 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4517857,9.1696697,1/22/2018,lombardia-milano-milano
"Via Laura Ciceri Visconti, 20137 Milano MI",FURTO,Furto Ciclo/Motociclo,45.454849,9.2208674,1/18/2019,lombardia-milano-milano
"Corso S. Gottardo, 5, 20136 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4512515,9.1805929,1/8/2018,lombardia-milano-milano
"Via Orcagna, 2, 20131 Milano MI",FURTO,Furto Ciclo/Motociclo,45.481247,9.2281,2/13/2020,lombardia-milano-milano
"Via Ulisse Gobbi, 5, 20136 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4484089,9.1892009,2/28/2018,lombardia-milano-milano
"Piazza San Babila, 1/3, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4661999,9.1971169,2/18/2018,lombardia-milano-milano
"Corso Garibaldi, 81, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4762103,9.183894,2/12/2020,lombardia-milano-milano
"Via Giorgio Washington, 2, 20146 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4656003,9.1551862,2/10/2019,lombardia-milano-milano
Via Francesco Melzi d'Eril,FURTO,,45.4784869,9.1709172,1/31/2019,lombardia-milano-milano
Via Caltagirone,FURTO,Furto in Esercizio Commerciale,45.5239322,9.1735077,2/11/2019,lombardia-milano-milano
Via Riccardo Bacchelli,RAPINA,Rapina in Strada,45.4975405,9.1117333,1/18/2020,lombardia-milano-milano
"Via Garian, 22, 20146 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4582402,9.1530114,2/10/2019,lombardia-milano-milano
"Viale Fulvio Testi, 302, 20126 Milano MI",FURTO,Furto Ciclo/Motociclo,45.5248526,9.21099,1/27/2018,lombardia-milano-milano
"Via Copernico, 18, 20125 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4883499,9.2016056,2/17/2019,lombardia-milano-milano
Via Madonnina,FURTO,Furto in Esercizio Commerciale,45.47118148,9.185109912,1/28/2019,lombardia-milano-milano
"Via Medeghino, 24, 20141 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4326201,9.182514,2/4/2018,lombardia-milano-milano
"Via Benevento, 1, 20142 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4384417,9.1522155,1/16/2019,lombardia-milano-milano
Piazzale Luigi Cadorna,FURTO,,45.467856,9.1765944,3/18/2018,lombardia-milano-milano
"Via Fratelli Ruffini, 4, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4665639,9.1700879,2/11/2019,lombardia-milano-milano
Via Teodosio,RAPINA,Rapina in Esercizio Commerciale,45.4872075,9.2298996,2/16/2020,lombardia-milano-milano
Piazzale Loreto,FURTO,Furto in Esercizio Commerciale,45.4860746,9.2161245,2/26/2020,lombardia-milano-milano
Via GesÃ¹,FURTO,Furto in Esercizio Commerciale,45.46983585,9.195367527,2/16/2020,lombardia-milano-milano
Piazzale Tripoli,RAPINA,Rapina in Strada,45.4585383,9.1482962,1/19/2020,lombardia-milano-milano
"Corso Buenos Aires, 5, 20124 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4777338,9.2083755,1/20/2019,lombardia-milano-milano
"Via Nino Bonnett, 5, 20154 Milano MI",FURTO,Furto Ciclo/Motociclo,45.482151,9.184871,1/14/2019,lombardia-milano-milano
"Via Giovanni Pacini, 28, 20131 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4821251,9.2293694,3/8/2019,lombardia-milano-milano
"Piazzale Antonio Cantore, 4, 20123 Milano MI",FURTO,,45.455677,9.1735783,2/4/2018,lombardia-milano-milano
"Via Leone XIII, 10, 20145 Milano MI",FURTO,Furto Ciclo/Motociclo,45.474045,9.1617647,3/9/2019,lombardia-milano-milano
"Via Antonio Bazzini, Via Giovanni Pacini, 1, 20131 Milano MI",FURTO,Furto Ciclo/Motociclo,45.480805,9.225033,3/30/2018,lombardia-milano-milano
Via Marco Polo,FURTO,Furto in Esercizio Commerciale,45.48016203,9.195179767,2/17/2019,lombardia-milano-milano
"Ripa di Porta Ticinese, 127, 20143 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4482077,9.1588433,3/8/2019,lombardia-milano-milano
"Piazza Antonio Gramsci, 8, 20154 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4819721,9.1688845,1/9/2019,lombardia-milano-milano
"Via Feltre, 40, 20134 Milano MI",FURTO,Furto Ciclo/Motociclo,45.49136,9.2444358,3/31/2019,lombardia-milano-milano
"Corso Sempione, 91, 20149 Milano MI",FURTO,,45.4846511,9.1606262,2/21/2019,lombardia-milano-milano
"Via Giuseppe Pellizza da Volpedo, 12, 20149 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4740646,9.1486023,3/2/2019,lombardia-milano-milano
Via Pomposa,RAPINA,Rapina in Strada,45.4358241,9.2188821,1/31/2020,lombardia-milano-milano
Piazza San Giorgio,FURTO,Furto in Esercizio Commerciale,45.4612378,9.1835308,2/21/2019,lombardia-milano-milano
"Via Privata Giovanni Ventura, 5, 20134 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4840377,9.242539,3/4/2019,lombardia-milano-milano
"Foro Buonaparte, 44, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4722763,9.1813692,2/14/2019,lombardia-milano-milano
"Via Gaetano de Castillia, 26, 20124 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4851249,9.1925788,2/11/2018,lombardia-milano-milano
"Piazzetta M. Bossi, 1, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.467845,9.187422,2/1/2018,lombardia-milano-milano
"Viale Carlo Espinasse, 60, 20156 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4966164,9.1428009,1/20/2019,lombardia-milano-milano
Piazza Duca d'Aosta,FURTO,,45.48484865,9.203385872,1/13/2020,lombardia-milano-milano
Piazza del Duomo,FURTO,,45.46406575,9.190662109,2/3/2020,lombardia-milano-milano
"Viale Umbria, 16, 20135 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4525446,9.214136,3/31/2019,lombardia-milano-milano
"Piazza Filippo Meda, 2/10, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4670622,9.1927483,3/3/2020,lombardia-milano-milano
"Via Vettabbia, 9, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4564135,9.1847853,1/14/2019,lombardia-milano-milano
"Via Lazzaretto, 20124 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4791723,9.2033283,2/14/2020,lombardia-milano-milano
"Piazza Vetra, 21, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4572712,9.1831945,3/3/2019,lombardia-milano-milano
"Via Monte San Genesio, 20158 Milano MI",FURTO,Furto Ciclo/Motociclo,45.500219,9.1784279,3/14/2019,lombardia-milano-milano
"Piazza Sant'Ambrogio, 5, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4636113,9.1762672,1/14/2019,lombardia-milano-milano
"Viale Beatrice d'Este, 17, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4520502,9.1963868,2/7/2018,lombardia-milano-milano
"Piazza Firenze, 2, 20154 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4878156,9.1568391,2/14/2018,lombardia-milano-milano
"Via Gastone Pisoni, 6, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4711722,9.1928536,3/4/2018,lombardia-milano-milano
"Via Conservatorio, 22, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4658095,9.2028477,1/4/2019,lombardia-milano-milano
"Via S. Pietro All'Orto, 17, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4676853,9.1946039,3/13/2019,lombardia-milano-milano
"Milano Greco Pirelli, 20125 Milano MI",FURTO,Furto Ciclo/Motociclo,45.5128565,9.2143385,3/2/2019,lombardia-milano-milano
Via Emilio de Marchi,FURTO,,45.50251685,9.210602355,2/24/2019,lombardia-milano-milano
"Via Gaspare Aselli, 25, 20133 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4710387,9.2301081,1/9/2018,lombardia-milano-milano
"Via Orazio, 3, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4599599,9.178302682,3/2/2019,lombardia-milano-milano
"Via Luigi Mercantini, 24, 20158 Milano MI",FURTO,Furto Ciclo/Motociclo,45.5017729,9.1639204,2/4/2018,lombardia-milano-milano
Corso Buenos Aires,FURTO,Furto in Esercizio Commerciale,45.474778,9.2054769,3/3/2020,lombardia-milano-milano
"Via della Commenda, 21, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4571071,9.1992394,2/4/2018,lombardia-milano-milano
"Piazza Andrea Ferrari, 1, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.455337,9.192969,1/20/2019,lombardia-milano-milano
"Piazza Imperatore Tito, 1, 20137 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4543319,9.2177999,1/14/2019,lombardia-milano-milano
Via Lattanzio,RAPINA,Rapina in Strada,45.4519276,9.2162087,1/19/2020,lombardia-milano-milano
"Viale Tunisia, 35, 20124 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4786732,9.201038718,1/30/2019,lombardia-milano-milano
"Maciachini M3, 20159 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4981946,9.1857098,1/31/2018,lombardia-milano-milano
"Via Carlo Poerio, 39, 20129 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4717908,9.2100411,2/7/2019,lombardia-milano-milano
"Corso Buenos Aires, 12, 20124 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4777338,9.2083755,1/20/2020,lombardia-milano-milano
"Piazzale Veronica Gambara, 7/9, 20146 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4644813,9.1422756,1/22/2018,lombardia-milano-milano
